sampleonly	Region	Site	Season	Site2	Month	Sample	SxR
HKBea1Feb	HK	Bea1	Feb	Bea	2	HK_Bea1_Feb	HK_Feb
HKBea2Feb	HK	Bea2	Feb	Bea	2	HK_Bea2_Feb	HK_Feb
HKBea3Feb	HK	Bea3	Feb	Bea	2	HK_Bea3_Feb	HK_Feb
HKSta1Feb	HK	Sta1	Feb	Sta	2	HK_Sta1_Feb	HK_Feb
HKSta2Feb	HK	Sta2	Feb	Sta	2	HK_Sta2_Feb	HK_Feb
HKSta3Feb	HK	Sta3	Feb	Sta	2	HK_Sta3_Feb	HK_Feb
HKSW1Feb	HK	SW1	Feb	SW	2	HK_SW1_Feb	HK_Feb
HKSW2Feb	HK	SW2	Feb	SW	2	HK_SW2_Feb	HK_Feb
HKSW3Feb	HK	SW3	Feb	SW	2	HK_SW3_Feb	HK_Feb
LTCC1Feb	LT	CC1	Feb	CC	2	LT_CC1_Feb	LT_Feb
LTCC2Feb	LT	CC2	Feb	CC	2	LT_CC2_Feb	LT_Feb
LTCC3Feb	LT	CC3	Feb	CC	2	LT_CC3_Feb	LT_Feb
LTCMW1Feb	LT	CMW1	Feb	CMW	2	LT_CMW1_Feb	LT_Feb
LTCMW2Feb	LT	CMW2	Feb	CMW	2	LT_CMW2_Feb	LT_Feb
LTCMW3Feb	LT	CMW3	Feb	CMW	2	LT_CMW3_Feb	LT_Feb
LTPC1Feb	LT	PC1	Feb	PC	2	LT_PC1_Feb	LT_Feb
LTPC3Feb	LT	PC3	Feb	PC	2	LT_PC3_Feb	LT_Feb
SKBlu1Feb	SK	Blu1	Feb	Blu	2	SK_Blu1_Feb	SK_Feb
SKBlu2Feb	SK	Blu2	Feb	Blu	2	SK_Blu2_Feb	SK_Feb
SKBlu3Feb	SK	Blu3	Feb	Blu	2	SK_Blu3_Feb	SK_Feb
SKLKW1Feb	SK	LKW1	Feb	LKW	2	SK_LKW1_Feb	SK_Feb
SKLKW2Feb	SK	LKW2	Feb	LKW	2	SK_LKW2_Feb	SK_Feb
SKLKW3Feb	SK	LKW3	Feb	LKW	2	SK_LKW3_Feb	SK_Feb
SKSha1Feb	SK	Sha1	Feb	Sha	2	SK_Sha1_Feb	SK_Feb
SKSha2Feb	SK	Sha2	Feb	Sha	2	SK_Sha2_Feb	SK_Feb
SKSha3Feb	SK	Sha3	Feb	Sha	2	SK_Sha3_Feb	SK_Feb
HKBea1May	HK	Bea1	May	Bea	5	HK_Bea1_May	HK_May
HKBea2May	HK	Bea2	May	Bea	5	HK_Bea2_May	HK_May
HKBea3May	HK	Bea3	May	Bea	5	HK_Bea3_May	HK_May
HKSta1May	HK	Sta1	May	Sta	5	HK_Sta1_May	HK_May
HKSta2May	HK	Sta2	May	Sta	5	HK_Sta2_May	HK_May
HKSta3May	HK	Sta3	May	Sta	5	HK_Sta3_May	HK_May
HKSW1May	HK	SW1	May	SW	5	HK_SW1_May	HK_May
HKSW2May	HK	SW2	May	SW	5	HK_SW2_May	HK_May
HKSW3May	HK	SW3	May	SW	5	HK_SW3_May	HK_May
LTCC1May	LT	CC1	May	CC	5	LT_CC1_May	LT_May
LTCC2May	LT	CC2	May	CC	5	LT_CC2_May	LT_May
LTCC3May	LT	CC3	May	CC	5	LT_CC3_May	LT_May
LTCMW1May	LT	CMW1	May	CMW	5	LT_CMW1_May	LT_May
LTCMW2May	LT	CMW2	May	CMW	5	LT_CMW2_May	LT_May
LTCMW3May	LT	CMW3	May	CMW	5	LT_CMW3_May	LT_May
LTPC1May	LT	PC1	May	PC	5	LT_PC1_May	LT_May
LTPC2May	LT	PC2	May	PC	5	LT_PC2_May	LT_May
LTPC3May	LT	PC3	May	PC	5	LT_PC3_May	LT_May
SKBlu1May	SK	Blu1	May	Blu	5	SK_Blu1_May	SK_May
SKBlu2May	SK	Blu2	May	Blu	5	SK_Blu2_May	SK_May
SKBlu3May	SK	Blu3	May	Blu	5	SK_Blu3_May	SK_May
SKLKW1May	SK	LKW1	May	LKW	5	SK_LKW1_May	SK_May
SKLKW2May	SK	LKW2	May	LKW	5	SK_LKW2_May	SK_May
SKLKW3May	SK	LKW3	May	LKW	5	SK_LKW3_May	SK_May
SKSha1May	SK	Sha1	May	Sha	5	SK_Sha1_May	SK_May
SKSha2May	SK	Sha2	May	Sha	5	SK_Sha2_May	SK_May
SKSha3May	SK	Sha3	May	Sha	5	SK_Sha3_May	SK_May
HKBea1Aug	HK	Bea1	Aug	Bea	8	HK_Bea1_Aug	HK_Aug
HKBea2Aug	HK	Bea2	Aug	Bea	8	HK_Bea2_Aug	HK_Aug
HKBea3Aug	HK	Bea3	Aug	Bea	8	HK_Bea3_Aug	HK_Aug
HKSta1Aug	HK	Sta1	Aug	Sta	8	HK_Sta1_Aug	HK_Aug
HKSta2Aug	HK	Sta2	Aug	Sta	8	HK_Sta2_Aug	HK_Aug
HKSta3Aug	HK	Sta3	Aug	Sta	8	HK_Sta3_Aug	HK_Aug
HKSW1Aug	HK	SW1	Aug	SW	8	HK_SW1_Aug	HK_Aug
HKSW2Aug	HK	SW2	Aug	SW	8	HK_SW2_Aug	HK_Aug
HKSW3Aug	HK	SW3	Aug	SW	8	HK_SW3_Aug	HK_Aug
LTCC1Aug	LT	CC1	Aug	CC	8	LT_CC1_Aug	LT_Aug
LTCC2Aug	LT	CC2	Aug	CC	8	LT_CC2_Aug	LT_Aug
LTCC3Aug	LT	CC3	Aug	CC	8	LT_CC3_Aug	LT_Aug
LTCMW1Aug	LT	CMW1	Aug	CMW	8	LT_CMW1_Aug	LT_Aug
LTCMW2Aug	LT	CMW2	Aug	CMW	8	LT_CMW2_Aug	LT_Aug
LTCMW3Aug	LT	CMW3	Aug	CMW	8	LT_CMW3_Aug	LT_Aug
LTPC1Aug	LT	PC1	Aug	PC	8	LT_PC1_Aug	LT_Aug
LTPC2Aug	LT	PC2	Aug	PC	8	LT_PC2_Aug	LT_Aug
LTPC3Aug	LT	PC3	Aug	PC	8	LT_PC3_Aug	LT_Aug
SKBlu1Aug	SK	Blu1	Aug	Blu	8	SK_Blu1_Aug	SK_Aug
SKBlu2Aug	SK	Blu2	Aug	Blu	8	SK_Blu2_Aug	SK_Aug
SKBlu3Aug	SK	Blu3	Aug	Blu	8	SK_Blu3_Aug	SK_Aug
SKLKW1Aug	SK	LKW1	Aug	LKW	8	SK_LKW1_Aug	SK_Aug
SKLKW2Aug	SK	LKW2	Aug	LKW	8	SK_LKW2_Aug	SK_Aug
SKLKW3Aug	SK	LKW3	Aug	LKW	8	SK_LKW3_Aug	SK_Aug
SKSha1Aug	SK	Sha1	Aug	Sha	8	SK_Sha1_Aug	SK_Aug
SKSha2Aug	SK	Sha2	Aug	Sha	8	SK_Sha2_Aug	SK_Aug
SKSha3Aug	SK	Sha3	Aug	Sha	8	SK_Sha3_Aug	SK_Aug
HKBea1Nov	HK	Bea1	Nov	Bea	11	HK_Bea1_Nov	HK_Nov
HKBea2Nov	HK	Bea2	Nov	Bea	11	HK_Bea2_Nov	HK_Nov
HKBea3Nov	HK	Bea3	Nov	Bea	11	HK_Bea3_Nov	HK_Nov
HKSta1Nov	HK	Sta1	Nov	Sta	11	HK_Sta1_Nov	HK_Nov
HKSta2Nov	HK	Sta2	Nov	Sta	11	HK_Sta2_Nov	HK_Nov
HKSta3Nov	HK	Sta3	Nov	Sta	11	HK_Sta3_Nov	HK_Nov
HKSW1Nov	HK	SW1	Nov	SW	11	HK_SW1_Nov	HK_Nov
HKSW2Nov	HK	SW2	Nov	SW	11	HK_SW2_Nov	HK_Nov
HKSW3Nov	HK	SW3	Nov	SW	11	HK_SW3_Nov	HK_Nov
LTCC1Nov	LT	CC1	Nov	CC	11	LT_CC1_Nov	LT_Nov
LTCC2Nov	LT	CC2	Nov	CC	11	LT_CC2_Nov	LT_Nov
LTCC3Nov	LT	CC3	Nov	CC	11	LT_CC3_Nov	LT_Nov
LTCMW1Nov	LT	CMW1	Nov	CMW	11	LT_CMW1_Nov	LT_Nov
LTCMW2Nov	LT	CMW2	Nov	CMW	11	LT_CMW2_Nov	LT_Nov
LTCMW3Nov	LT	CMW3	Nov	CMW	11	LT_CMW3_Nov	LT_Nov
LTPC1Nov	LT	PC1	Nov	PC	11	LT_PC1_Nov	LT_Nov
LTPC2Nov	LT	PC2	Nov	PC	11	LT_PC2_Nov	LT_Nov
LTPC3Nov	LT	PC3	Nov	PC	11	LT_PC3_Nov	LT_Nov
SKBlu1Nov	SK	Blu1	Nov	Blu	11	SK_Blu1_Nov	SK_Nov
SKBlu2Nov	SK	Blu2	Nov	Blu	11	SK_Blu2_Nov	SK_Nov
SKBlu3Nov	SK	Blu3	Nov	Blu	11	SK_Blu3_Nov	SK_Nov
SKLKW1Nov	SK	LKW1	Nov	LKW	11	SK_LKW1_Nov	SK_Nov
SKLKW2Nov	SK	LKW2	Nov	LKW	11	SK_LKW2_Nov	SK_Nov
SKLKW3Nov	SK	LKW3	Nov	LKW	11	SK_LKW3_Nov	SK_Nov
SKSha1Nov	SK	Sha1	Nov	Sha	11	SK_Sha1_Nov	SK_Nov
SKSha2Nov	SK	Sha2	Nov	Sha	11	SK_Sha2_Nov	SK_Nov
SKSha3Nov	SK	Sha3	Nov	Sha	11	SK_Sha3_Nov	SK_Nov
